Time;Theta;Time(s);Theta(rad)
9645;60;9.645;1.0471975511966
9661;60;9.661;1.0471975511966
9677;60;9.677;1.0471975511966
9693;60;9.693;1.0471975511966
9709;60;9.709;1.0471975511966
9725;60;9.725;1.0471975511966
9741;60;9.741;1.0471975511966
9758;60;9.758;1.0471975511966
9774;60;9.774;1.0471975511966
9790;60;9.79;1.0471975511966
9806;60;9.806;1.0471975511966
9822;60;9.822;1.0471975511966
9838;60;9.838;1.0471975511966
9854;60;9.854;1.0471975511966
9870;60;9.87;1.0471975511966
9887;60;9.887;1.0471975511966
9903;60;9.903;1.0471975511966
9919;60;9.919;1.0471975511966
9935;60;9.935;1.0471975511966
9951;60;9.951;1.0471975511966
9967;60;9.967;1.0471975511966
9983;60;9.983;1.0471975511966
10000;60;10;1.0471975511966
10016;60;10.016;1.0471975511966
10032;60;10.032;1.0471975511966
10048;60;10.048;1.0471975511966
10064;60;10.064;1.0471975511966
10080;60;10.08;1.0471975511966
10096;60;10.096;1.0471975511966
10112;60;10.112;1.0471975511966
10129;60;10.129;1.0471975511966
10145;60;10.145;1.0471975511966
10161;60;10.161;1.0471975511966
10177;60;10.177;1.0471975511966
10193;60;10.193;1.0471975511966
10209;60;10.209;1.0471975511966
10225;60;10.225;1.0471975511966
10241;60;10.241;1.0471975511966
10258;60;10.258;1.0471975511966
10274;60;10.274;1.0471975511966
10290;60;10.29;1.0471975511966
10306;60;10.306;1.0471975511966
10322;60;10.322;1.0471975511966
10338;60;10.338;1.0471975511966
10354;60;10.354;1.0471975511966
10370;60;10.37;1.0471975511966
10387;60;10.387;1.0471975511966
10403;60;10.403;1.0471975511966
10419;60;10.419;1.0471975511966
10435;60;10.435;1.0471975511966
10451;60;10.451;1.0471975511966
10467;60;10.467;1.0471975511966
10483;60;10.483;1.0471975511966
10500;60;10.5;1.0471975511966
10516;60;10.516;1.0471975511966
10532;60;10.532;1.0471975511966
10548;60;10.548;1.0471975511966
10564;60;10.564;1.0471975511966
10580;60;10.58;1.0471975511966
10596;60;10.596;1.0471975511966
10612;60;10.612;1.0471975511966
10629;60;10.629;1.0471975511966
10645;60;10.645;1.0471975511966
10661;60;10.661;1.0471975511966
10677;60;10.677;1.0471975511966
10693;60;10.693;1.0471975511966
10709;60;10.709;1.0471975511966
10725;60;10.725;1.0471975511966
10741;60;10.741;1.0471975511966
10758;60;10.758;1.0471975511966
10774;60;10.774;1.0471975511966
10790;60;10.79;1.0471975511966
10806;60;10.806;1.0471975511966
10822;60;10.822;1.0471975511966
10838;60;10.838;1.0471975511966
10854;60;10.854;1.0471975511966
10870;60;10.87;1.0471975511966
10887;61;10.887;1.06465084371654
10903;60;10.903;1.0471975511966
10919;61;10.919;1.06465084371654
10935;60;10.935;1.0471975511966
10951;61;10.951;1.06465084371654
10967;61;10.967;1.06465084371654
10983;61;10.983;1.06465084371654
11000;61;11;1.06465084371654
11016;61;11.016;1.06465084371654
11032;61;11.032;1.06465084371654
11048;61;11.048;1.06465084371654
11064;61;11.064;1.06465084371654
11080;61;11.08;1.06465084371654
11096;61;11.096;1.06465084371654
11112;61;11.112;1.06465084371654
11129;61;11.129;1.06465084371654
11145;61;11.145;1.06465084371654
11161;61;11.161;1.06465084371654
11177;61;11.177;1.06465084371654
11193;61;11.193;1.06465084371654
11209;61;11.209;1.06465084371654
11225;61;11.225;1.06465084371654
11241;61;11.241;1.06465084371654
11258;61;11.258;1.06465084371654
11274;61;11.274;1.06465084371654
11290;61;11.29;1.06465084371654
11306;61;11.306;1.06465084371654
11322;61;11.322;1.06465084371654
11338;61;11.338;1.06465084371654
11354;61;11.354;1.06465084371654
11370;61;11.37;1.06465084371654
11387;61;11.387;1.06465084371654
11403;61;11.403;1.06465084371654
11419;61;11.419;1.06465084371654
11435;61;11.435;1.06465084371654
11451;61;11.451;1.06465084371654
11467;61;11.467;1.06465084371654
11483;61;11.483;1.06465084371654
11500;61;11.5;1.06465084371654
11516;61;11.516;1.06465084371654
11532;61;11.532;1.06465084371654
11548;61;11.548;1.06465084371654
11564;61;11.564;1.06465084371654
11580;61;11.58;1.06465084371654
11596;61;11.596;1.06465084371654
11612;61;11.612;1.06465084371654
11629;61;11.629;1.06465084371654
11645;61;11.645;1.06465084371654
11661;61;11.661;1.06465084371654
11677;61;11.677;1.06465084371654
11693;61;11.693;1.06465084371654
11709;61;11.709;1.06465084371654
11725;61;11.725;1.06465084371654
11741;61;11.741;1.06465084371654
11758;61;11.758;1.06465084371654
11774;61;11.774;1.06465084371654
11790;61;11.79;1.06465084371654
11806;61;11.806;1.06465084371654
11822;61;11.822;1.06465084371654
11838;61;11.838;1.06465084371654
11854;61;11.854;1.06465084371654
11870;61;11.87;1.06465084371654
11887;61;11.887;1.06465084371654
11903;61;11.903;1.06465084371654
11919;61;11.919;1.06465084371654
11935;61;11.935;1.06465084371654
11951;61;11.951;1.06465084371654
11967;61;11.967;1.06465084371654
11983;61;11.983;1.06465084371654
12000;61;12;1.06465084371654
12016;61;12.016;1.06465084371654
12032;61;12.032;1.06465084371654
12048;61;12.048;1.06465084371654
